,address,damage,date,cause,longitude,latitude
0,飛田給１－５２,床下浸水,1972/07/12,昭和４７年７月豪雨,139.52606200000002,35.661352
1,飛田給３－２４,床下浸水,1972/07/12,昭和４７年７月豪雨,139.52424,35.655782
2,上石原１－４２,床下浸水,1972/07/12,昭和４７年７月豪雨,139.533167,35.658783
3,上石原３－１０,床下浸水,1972/07/12,昭和４７年７月豪雨,139.52756200000002,35.652714
4,多摩川５－１７,床下浸水,1972/07/12,昭和４７年７月豪雨,139.537551,35.643561
5,多摩川７－２２,床下浸水,1972/07/12,昭和４７年７月豪雨,139.54143,35.642146999999994
6,飛田給１－３３,床下浸水,1972/07/15,昭和４７年台風６号,139.523842,35.662966
7,上石原３－５６,床下浸水,1972/07/15,昭和４７年台風６号,139.523616,35.64886
8,多摩川６－３５,床下浸水,1972/07/15,昭和４７年台風６号,139.54202,35.642356
9,若葉町３－５,床下浸水,1972/07/15,昭和４７年台風６号,0.0,0.0
10,深大寺東町６－２５,床下浸水,1972/07/15,昭和４７年台風６号,139.559419,35.675095
11,多摩川３－５４,床下浸水,1974/09/01,昭和４９年台風１６号,139.528955,35.644771
12,多摩川３－５５,床下浸水,1974/09/01,昭和４９年台風１６号,139.528749,35.64481
13,多摩川３－５６,床下浸水,1974/09/01,昭和４９年台風１６号,139.52858500000002,35.645311
14,多摩川６－３５,床上浸水,1974/09/01,昭和４９年台風１６号,139.54202,35.642356
15,多摩川６－３５,床下浸水,1974/09/01,昭和４９年台風１６号,139.54202,35.642356
16,飛田給３－５,床下浸水,1976/09/09,昭和５１年台風１７号,139.520805,35.656946999999995
17,上石原１－４２,床下浸水,1976/09/09,昭和５１年台風１７号,139.533167,35.658783
18,上石原３－３２,床上浸水,1976/09/09,昭和５１年台風１７号,139.525624,35.650796
19,上石原３－３２,床上浸水,1976/09/09,昭和５１年台風１７号,139.525624,35.650796
20,富士見町４－３３,床下浸水,1976/09/09,昭和５１年台風１７号,139.535048,35.667965
21,国領町１－６,床下浸水,1976/09/09,昭和５１年台風１７号,139.55191100000002,35.652149
22,国領町１－７,床下浸水,1976/09/09,昭和５１年台風１７号,139.55276,35.652876
23,国領町８－１１,床下浸水,1976/09/09,昭和５１年台風１７号,139.568467,35.648443
24,染地２－３５,床上浸水,1976/09/09,昭和５１年台風１７号,139.554171,35.638109
25,染地２－４２,床下浸水,1976/09/09,昭和５１年台風１７号,139.555432,35.642893
26,染地２－４７,床上浸水,1976/09/09,昭和５１年台風１７号,139.5493,35.638971999999995
27,染地３－８,床下浸水,1976/09/09,昭和５１年台風１７号,139.557289,35.637945
28,多摩川２－２３,床上浸水,1976/09/09,昭和５１年台風１７号,139.528415,35.645919
29,多摩川２－２９,床上浸水,1976/09/09,昭和５１年台風１７号,139.52833600000002,35.648161
30,多摩川３－１０,床下浸水,1976/09/09,昭和５１年台風１７号,139.53371,35.647
31,多摩川３－３１,床上浸水,1976/09/09,昭和５１年台風１７号,139.530939,35.646823
32,多摩川３－３６,床上浸水,1976/09/09,昭和５１年台風１７号,139.530021,35.646194
33,多摩川３－５０,床上浸水,1976/09/09,昭和５１年台風１７号,139.530277,35.644789
34,多摩川３－５４,床上浸水,1976/09/09,昭和５１年台風１７号,139.528955,35.644771
35,多摩川３－５６,床下浸水,1976/09/09,昭和５１年台風１７号,139.52858500000002,35.645311
36,多摩川３－５６,床上浸水,1976/09/09,昭和５１年台風１７号,139.52858500000002,35.645311
37,多摩川３－５７,床下浸水,1976/09/09,昭和５１年台風１７号,139.527942,35.645134999999996
38,多摩川３－６８,床下浸水,1976/09/09,昭和５１年台風１７号,139.532188,35.644767
39,多摩川３－７９,床上浸水・現在鶴川街道,1976/09/09,昭和５１年台風１７号,0.0,0.0
40,多摩川４－３８,床下浸水,1976/09/09,昭和５１年台風１７号,139.53615200000002,35.645364
41,多摩川７－１５,床上浸水,1976/09/09,昭和５１年台風１７号,139.54017,35.642132000000004
42,多摩川７－６,床上浸水,1976/09/09,昭和５１年台風１７号,139.539679,35.64294
43,多摩川７－６,床上浸水,1976/09/09,昭和５１年台風１７号,139.539679,35.64294
44,多摩川７－６,床上浸水,1976/09/09,昭和５１年台風１７号,139.539679,35.64294
45,多摩川７－７,床下浸水,1976/09/09,昭和５１年台風１７号,139.538903,35.643347999999996
46,多摩川７－７,床下浸水,1976/09/09,昭和５１年台風１７号,139.538903,35.643347999999996
47,多摩川７－７,床下浸水,1976/09/09,昭和５１年台風１７号,139.538903,35.643347999999996
48,佐須町１－１３,床下浸水,1976/09/09,昭和５１年台風１７号,139.550773,35.661303000000004
49,佐須町１－２８,床下浸水,1976/09/09,昭和５１年台風１７号,139.552457,35.662465999999995
50,佐須町２－８,床下浸水,1976/09/09,昭和５１年台風１７号,139.55443400000001,35.658087
51,佐須町２－９,床下浸水,1976/09/09,昭和５１年台風１７号,139.554543,35.658287
52,佐須町５－２２,床下浸水,1976/09/09,昭和５１年台風１７号,139.561194,35.66049
53,菊野台１－２０,床下浸水,1976/09/09,昭和５１年台風１７号,139.56746,35.655645
54,菊野台１－２５,床下浸水,1976/09/09,昭和５１年台風１７号,139.568792,35.655604
55,菊野台１－２８,床下浸水,1976/09/09,昭和５１年台風１７号,139.568105,35.656065000000005
56,菊野台１－３７,床上浸水,1976/09/09,昭和５１年台風１７号,139.566235,35.657989
57,菊野台１－３７,床上浸水,1976/09/09,昭和５１年台風１７号,139.566235,35.657989
58,東つつじケ丘１－１６,床下浸水,1976/09/09,昭和５１年台風１７号,139.577718,35.66063
59,東つつじケ丘１－５,床下浸水,1976/09/09,昭和５１年台風１７号,139.576249,35.659682000000004
60,東つつじケ丘１－６,床上浸水,1976/09/09,昭和５１年台風１７号,139.577032,35.659915999999996
61,東つつじケ丘３－３３,床下浸水,1976/09/09,昭和５１年台風１７号,139.58237,35.652814
62,東つつじケ丘３－５３,床上浸水,1976/09/09,昭和５１年台風１７号,139.581997,35.651326
63,東つつじケ丘３－５３,床上浸水,1976/09/09,昭和５１年台風１７号,139.581997,35.651326
64,西つつじケ丘１－１,床下浸水,1976/09/09,昭和５１年台風１７号,139.569018,35.657746
65,西つつじケ丘２－１８,床下浸水,1976/09/09,昭和５１年台風１７号,139.574866,35.660428
66,入間町１－２３,床下浸水,1976/09/09,昭和５１年台風１７号,139.590371,35.654176
67,入間町２－２,床下浸水,1976/09/09,昭和５１年台風１７号,139.58371499999998,35.651531
68,仙川町１－２３,床上浸水,1976/09/09,昭和５１年台風１７号,139.588176,35.659483
69,仙川町１－３２,床下浸水,1976/09/09,昭和５１年台風１７号,139.58908300000002,35.660484000000004
70,仙川町１－３３,床下浸水,1976/09/09,昭和５１年台風１７号,139.589203,35.659791
71,仙川町１－９,床下浸水,1976/09/09,昭和５１年台風１７号,139.584131,35.6605
72,若葉町１－１２,床下浸水,1976/09/09,昭和５１年台風１７号,139.580497,35.658526
73,若葉町２－１５,床下浸水,1976/09/09,昭和５１年台風１７号,139.588448,35.658381
74,若葉町３－２,床下浸水,1976/09/09,昭和５１年台風１７号,139.582555,35.654653
75,深大寺元町２－６,床下浸水,1976/09/09,昭和５１年台風１７号,139.550341,35.66187
76,深大寺元町４－３８,床下浸水,1976/09/09,昭和５１年台風１７号,139.544252,35.672296
77,深大寺南町３－１４,床下浸水,1976/09/09,昭和５１年台風１７号,139.560908,35.665136
78,深大寺南町４－４１,床下浸水,1976/09/09,昭和５１年台風１７号,0.0,0.0
79,深大寺南町３－１３,床下浸水,1976/09/09,昭和５１年台風１７号,139.560775,35.664634
80,多摩川７－１４,床下浸水,1979/10/19,昭和５４年台風２０号,139.539991,35.642203
81,入間町１－６,床下浸水,1981/10/22,昭和５６年台風２４号,139.585329,35.651802
82,染地３－４,床下浸水（隣地の宅地造成に伴う）,1999/08/14,集中豪雨,139.5574,35.639035
83,調布ケ丘１－２０,道路冠水,1999/08/14,集中豪雨,139.54594,35.656093
84,富士見町３－１１,道路冠水,2005/09/04,集中豪雨,139.538399,35.662862
85,富士見町３－２１,道路冠水,2005/09/04,集中豪雨,139.542145,35.660409
86,富士見町３－７,床上浸水（店舗に浸水とのこと）・道路冠水,2005/09/04,集中豪雨,139.539711,35.662393
87,下石原３－２７,地下室浸水（半地下居室あり）,2005/09/04,集中豪雨,139.530931,35.651371999999995
88,下石原３－５７,床下浸水,2005/09/04,集中豪雨,139.53603700000002,35.651334000000006
89,小島町３－２１,トイレ逆流,2005/09/04,集中豪雨,139.536171,35.648219
90,布田４－２９,半地下浸水（駐車場）,2005/09/04,集中豪雨,139.546086,35.648548999999996
91,布田５－５３,地下室浸水,2005/09/04,集中豪雨,139.544024,35.644503
92,布田５－５８,Ｕ字溝蓋なし,2005/09/04,集中豪雨,139.544477,35.644131
93,国領町１－９,床上浸水,2005/09/04,集中豪雨,139.552175,35.651308
94,国領町１－９,地下室浸水,2005/09/04,集中豪雨,139.552175,35.651308
95,国領町３－１３,床下浸水,2005/09/04,集中豪雨,139.56200900000002,35.650515000000006
96,国領町８－１１,地下室浸水（駐車場）,2005/09/04,集中豪雨,139.568467,35.648443
97,国領町８－１３,地下室浸水（半地下駐車場）,2005/09/04,集中豪雨,139.568471,35.647784
98,染地１－１２,冠水・布田小学校の水,2005/09/04,集中豪雨,139.546923,35.642615
99,染地１－１２,床下浸水,2005/09/04,集中豪雨,139.546923,35.642615
100,染地２－２７,冠水。玄関先土嚢,2005/09/04,集中豪雨,139.55430800000002,35.641417
101,染地２－３１,南方多摩川側道路。下水から水があふれる,2005/09/04,集中豪雨,139.553782,35.640457
102,染地２－３２,床下浸水,2005/09/04,集中豪雨,139.553517,35.639594
103,染地２－３３,地下室浸水（駐車場）,2005/09/04,集中豪雨,139.553028,35.638697
104,染地２－３８,下水あふれ，トイレ流れない,2005/09/04,集中豪雨,139.554792,35.641015
105,染地２－４２,低地のため道路から流入・下水逆流,2005/09/04,集中豪雨,139.555432,35.642893
106,染地３－１,道路冠水,2005/09/04,集中豪雨,139.557035,35.639904
107,染地３－１,道路冠水,2005/09/04,集中豪雨,139.557035,35.639904
108,多摩川３－２,道路冠水,2005/09/04,集中豪雨,139.53294499999998,35.648507
109,多摩川３－２４,床下浸水,2005/09/04,集中豪雨,139.531735,35.646936
110,多摩川３－２４,半地下浸水（居室）,2005/09/04,集中豪雨,139.531735,35.646936
111,多摩川３－２５,地下室浸水,2005/09/04,集中豪雨,139.531968,35.647338
112,多摩川３－７０,下水より水があふれた,2005/09/04,集中豪雨,139.530858,35.644068
113,多摩川４－３５,雨水升より水があふれた,2005/09/04,集中豪雨,139.535406,35.643749
114,多摩川６－１２,地下室浸水,2005/09/04,集中豪雨,139.54275,35.643941999999996
115,多摩川６－１６,地下室浸水（駐車場）,2005/09/04,集中豪雨,139.54415600000002,35.643184000000005
116,多摩川６－１６,地下室浸水（駐車場）,2005/09/04,集中豪雨,139.54415600000002,35.643184000000005
117,多摩川６－１８,地下室浸水（居室＋事務所）,2005/09/04,集中豪雨,139.54369499999999,35.6429
118,多摩川７－１７,道路冠水・敷地へ京王テニスコートの水・ゴミ,2005/09/04,集中豪雨,139.540309,35.641872
119,多摩川７－２２,府中用水の増水による敷地内浸水,2005/09/04,集中豪雨,139.54143,35.642146999999994
120,佐須町１－３１,冠水・用水路の越水,2005/09/04,集中豪雨,139.55183200000002,35.662971
121,菊野台２－６０,地下室浸水（地下室の床から１００cm程度）,2005/09/04,集中豪雨,139.56498100000002,35.650686
122,菊野台２－６３,道路冠水（交通規制あり）,2005/09/04,集中豪雨,139.567465,35.649026
123,菊野台３－３２,全面道路冠水（品川道）・普段は冠水なし,2005/09/04,集中豪雨,139.57105,35.653415
124,菊野台３－３９,半地下浸水（居室）,2005/09/04,集中豪雨,139.57273500000002,35.651841
125,菊野台３－３９,冠水・調和小学校水路,2005/09/04,集中豪雨,139.57273500000002,35.651841
126,東つつじケ丘１－１６,床上浸水,2005/09/04,集中豪雨,139.577718,35.66063
127,東つつじケ丘１－１６,床上浸水,2005/09/04,集中豪雨,139.577718,35.66063
128,東つつじケ丘１－１６,床上浸水１．５m,2005/09/04,集中豪雨,139.577718,35.66063
129,東つつじケ丘１－１６,床上浸水・床板張替,2005/09/04,集中豪雨,139.577718,35.66063
130,東つつじケ丘１－１７,床上浸水８０ｃｍ,2005/09/04,集中豪雨,139.577801,35.661063
131,東つつじケ丘２－１９,床上浸水,2005/09/04,集中豪雨,139.578917,35.658613
132,東つつじケ丘２－１９,床下浸水,2005/09/04,集中豪雨,139.578917,35.658613
133,東つつじケ丘２－１９,床上浸水,2005/09/04,集中豪雨,139.578917,35.658613
134,東つつじケ丘２－１９,床上浸水,2005/09/04,集中豪雨,139.578917,35.658613
135,東つつじケ丘２－２０,床上浸水,2005/09/04,集中豪雨,139.57921399999998,35.658167
136,東つつじケ丘２－２０,床上浸水,2005/09/04,集中豪雨,139.57921399999998,35.658167
137,東つつじケ丘２－３９,床下一部浸水,2005/09/04,集中豪雨,139.580608,35.656308
138,東つつじケ丘２－３９,床上浸水,2005/09/04,集中豪雨,139.580608,35.656308
139,東つつじケ丘２－３９,床下浸水,2005/09/04,集中豪雨,139.580608,35.656308
140,東つつじケ丘２－３９,床下浸水,2005/09/04,集中豪雨,139.580608,35.656308
141,東つつじケ丘２－３９,床上浸水,2005/09/04,集中豪雨,139.580608,35.656308
142,東つつじケ丘２－３９,床上浸水,2005/09/04,集中豪雨,139.580608,35.656308
143,東つつじケ丘２－３９,床上浸水,2005/09/04,集中豪雨,139.580608,35.656308
144,東つつじケ丘２－３９,床上浸水,2005/09/04,集中豪雨,139.580608,35.656308
145,東つつじケ丘２－３９,床上浸水,2005/09/04,集中豪雨,139.580608,35.656308
146,東つつじケ丘２－３９,床上浸水,2005/09/04,集中豪雨,139.580608,35.656308
147,東つつじケ丘２－３９,床上浸水,2005/09/04,集中豪雨,139.580608,35.656308
148,東つつじケ丘２－３９,床上浸水,2005/09/04,集中豪雨,139.580608,35.656308
149,東つつじケ丘２－３９,床下浸水,2005/09/04,集中豪雨,139.580608,35.656308
150,東つつじケ丘２－３９,床上浸水,2005/09/04,集中豪雨,139.580608,35.656308
151,東つつじケ丘２－３９,床上浸水３０cm,2005/09/04,集中豪雨,139.580608,35.656308
152,東つつじケ丘２－３９,地下室浸水（駐車場）,2005/09/04,集中豪雨,139.580608,35.656308
153,東つつじケ丘２－３９,床下浸水（駐車場）,2005/09/04,集中豪雨,139.580608,35.656308
154,東つつじケ丘２－３９,床下浸水,2005/09/04,集中豪雨,139.580608,35.656308
155,東つつじケ丘２－４０,地下室浸水,2005/09/04,集中豪雨,139.580346,35.656129
156,東つつじケ丘２－４０,床下浸水,2005/09/04,集中豪雨,139.580346,35.656129
157,東つつじケ丘２－４０,床下浸水,2005/09/04,集中豪雨,139.580346,35.656129
158,東つつじケ丘２－４０,床上浸水,2005/09/04,集中豪雨,139.580346,35.656129
159,東つつじケ丘２－４０,床上浸水,2005/09/04,集中豪雨,139.580346,35.656129
160,東つつじケ丘２－４０,地下室浸水,2005/09/04,集中豪雨,139.580346,35.656129
161,西つつじケ丘３－２,地下室浸水（半地下居室あり）,2005/09/04,集中豪雨,139.569549,35.65651
162,西つつじケ丘４－２１,床下浸水,2005/09/04,集中豪雨,139.573012,35.652442
163,西つつじケ丘４－６,床上浸水１cm,2005/09/04,集中豪雨,139.57539599999998,35.657278000000005
164,入間町２－２６,床下浸水（駐車場）,2005/09/04,集中豪雨,139.586646,35.64656
165,入間町２－２６,道路冠水,2005/09/04,集中豪雨,139.586646,35.64656
166,入間町２－２６,床下浸水（駐車場）,2005/09/04,集中豪雨,139.586646,35.64656
167,仙川町２－１,床上浸水（団確認時水なし）,2005/09/04,集中豪雨,139.578375,35.661413
168,緑ケ丘１－１０,道路冠水,2005/09/04,集中豪雨,139.582377,35.666398
169,緑ケ丘１－１１,地下室浸水（駐車場）,2005/09/04,集中豪雨,139.580804,35.666727
170,緑ケ丘１－３８,半地下浸水（駐車場）,2005/09/04,集中豪雨,139.579619,35.670739000000005
171,緑ケ丘１－３８,下水より水があふれる,2005/09/04,集中豪雨,139.579619,35.670739000000005
172,緑ケ丘１－４５,半地下浸水（駐車場）,2005/09/04,集中豪雨,139.576286,35.673003
173,緑ケ丘１－４５,床上浸水（地下）,2005/09/04,集中豪雨,139.576286,35.673003
174,緑ケ丘１－４５,道路冠水・半地下駐車場,2005/09/04,集中豪雨,139.576286,35.673003
175,緑ケ丘２－１４,敷地内浸水,2005/09/04,集中豪雨,139.585613,35.670537
176,緑ケ丘２－５１,汚水升から下水があふれる,2005/09/04,集中豪雨,139.587951,35.667387
177,若葉町１－１,道路冠水・床下浸水,2005/09/04,集中豪雨,139.579725,35.659087
178,若葉町１－１,床上浸水,2005/09/04,集中豪雨,139.579725,35.659087
179,若葉町１－１,床下浸水,2005/09/04,集中豪雨,139.579725,35.659087
180,若葉町１－１,車両,2005/09/04,集中豪雨,139.579725,35.659087
181,若葉町１－１,地下室浸水（地下駐車場）,2005/09/04,集中豪雨,139.579725,35.659087
182,若葉町１－１,５０～６０cm冠水  車が流されている,2005/09/04,集中豪雨,139.579725,35.659087
183,若葉町１－１,地下室浸水（地下駐車場）,2005/09/04,集中豪雨,139.579725,35.659087
184,若葉町１－１,車両,2005/09/04,集中豪雨,139.579725,35.659087
185,若葉町１－１,床下浸水,2005/09/04,集中豪雨,139.579725,35.659087
186,若葉町１－１,床下浸水,2005/09/04,集中豪雨,139.579725,35.659087
187,若葉町１－１,床下浸水,2005/09/04,集中豪雨,139.579725,35.659087
188,若葉町１－１,床下浸水,2005/09/04,集中豪雨,139.579725,35.659087
189,若葉町１－１,車両,2005/09/04,集中豪雨,139.579725,35.659087
190,若葉町１－１,車両,2005/09/04,集中豪雨,139.579725,35.659087
191,若葉町１－１,車両,2005/09/04,集中豪雨,139.579725,35.659087
192,若葉町１－３,床上浸水,2005/09/04,集中豪雨,139.579615,35.658338
193,若葉町１－３,床上浸水,2005/09/04,集中豪雨,139.579615,35.658338
194,若葉町１－３,床上浸水,2005/09/04,集中豪雨,139.579615,35.658338
195,若葉町１－３,床上浸水,2005/09/04,集中豪雨,139.579615,35.658338
196,若葉町１－３,床上浸水,2005/09/04,集中豪雨,139.579615,35.658338
197,若葉町１－３,床上浸水,2005/09/04,集中豪雨,139.579615,35.658338
198,若葉町１－３５,道路上に砕石多数散乱,2005/09/04,集中豪雨,139.582417,35.656256
199,若葉町１－３６,地下室浸水・汚水桝の破損（下水の逆流）,2005/09/04,集中豪雨,139.58289299999998,35.655832000000004
200,若葉町１－４,床下浸水・郵政省宿舎前土砂の流出,2005/09/04,集中豪雨,139.57963700000002,35.659626
201,若葉町１－４,越水危険・入間川,2005/09/04,集中豪雨,139.57963700000002,35.659626
202,若葉町１－４,京王線敷地内下水マンホール蓋飛散１箇所,2005/09/04,集中豪雨,139.57963700000002,35.659626
203,若葉町１－４,地下室浸水（駐車場）,2005/09/04,集中豪雨,139.57963700000002,35.659626
204,若葉町１－７,床下浸水,2005/09/04,集中豪雨,139.581514,35.655933000000005
205,若葉町１－７,床上浸水,2005/09/04,集中豪雨,139.581514,35.655933000000005
206,若葉町１－７,床上浸水,2005/09/04,集中豪雨,139.581514,35.655933000000005
207,若葉町１－７,床下浸水,2005/09/04,集中豪雨,139.581514,35.655933000000005
208,若葉町１－７,床下浸水,2005/09/04,集中豪雨,139.581514,35.655933000000005
209,若葉町１－８,床上浸水８０cm,2005/09/04,集中豪雨,139.58126399999998,35.656329
